'category','modName','modurl','altsrc','altsrcurl','status','description','notes','approveddate','approvedby'
'ui','ReportCard',' https://thunderstore.io/c/valheim/p/ComfyMods/ReportCard/',,,'Working - Approved','This is a mod for BepInEx ConfigurationManager.','Improves the user experience when changing number values and a better color config input field.',02/24/24,'redseiko@'
'ui','Groups',' https://thunderstore.io/c/valheim/p/Smoothbrain/Groups/','GitHub','https://github.com/redseiko/ComfyMods/tree/main/ReportCard','Working - Approved','See your player stats.',,'???','redseiko@'
'ui','License to Kill',' https://valheim.thunderstore.io/package/ComfyMods/LicenseToKill/','GitHub','https://github.com/blaxxun-boop/Groups','Working - Approved','Adds basic group features to the game. \n - Group Chat \n - Health Display \n - Colored names for group members \n - Map Location of group members \n - Disable Friendly Fire (PvP) for Group Members only \n - Group Ping',,11/25/25,'eardwulf@'
'combat','License to Skill',' https://valheim.thunderstore.io/package/ComfyMods/LicenseToSkill/','Github','https://github.com/ajwhite/ValheimMods/releases/tag/LicenseToKill-v1.0.0','Working - Approved','Lets you PVP without Skill Loss. ','Direct upgrade to Fight Club as it allows the use of multiple weapons and doesn''t require both players to have the mod to function.',12/13/21,'Redseiko'
'combat','VerticallyChallenged',' https://valheim.thunderstore.io/package/ComfyMods/VerticallyChallenged/',,,'Working - Approved','Reduces skill reduction to 1% for ALL deaths (not just pvp)','Previously bought in Creator shop, now free to all.',,
'combat','Arrow Counter',' https://valheim.thunderstore.io/package/TeamBruce/ArrowCounter/',,,'Working - Approved','Allows attacks above or below player','Replaces Slope Combat Fix',09/04/23,'Bruce'
'combat','TrapMeNot',,,,'Broken-Not Approved','Tracks arrow usage per player.',,08/05/22,'Bruce'
'combat','Hook Gen Patcher',' https://valheim.thunderstore.io/package/ValheimModding/HookGenPatcher/','Thunderstore','https://valheim.thunderstore.io/package/EardwulfDoesMods/TrapMeNot/','Working - Approved','Prevents traps from triggering on players unless they are pvp flagged.','Other things (animals, players without the mod, build pieces such as work benches breaking) can still trigger the traps.',12/19/22,'Eardwulf'
'dependencies','Mod Config Enforcer',,,,'Working - Approved','Other mods use this to work.',,,
'dependencies',,,'Nexus','https://www.nexusmods.com/valheim/mods/460?tab=description','Deprecated-Not Approved','The one on Nexus is 2.0 which breaks backwards compatability, not sure if works with Fight Club but is updated for Hearth and Home.',,10/09/21,'redseiko'
